ROI,ID,subROI,ROI_x1,ROI_y1,ROI_x2,ROI_y2,Angle,Mu,Amplitude,Sigma,Bias,R^2,image path
0,0,0,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,216.6506172401206,101.29371241376703,14.202579275840332,65.9722908844157,0.9938127712076041,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,1,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,199.42725096129863,75.98204401563534,11.995200590953749,66.93000515288989,0.9873683167489383,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,2,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,222.0730024244348,79.68290375621743,17.717415982581056,64.84798097938565,0.9898023748726311,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,3,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,216.85537273741787,131.90444809994057,16.255889200472204,66.17460506671138,0.995130134011949,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,4,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,214.6722967605462,132.79556648167437,17.196289508618708,66.46971672005752,0.9970827513515301,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,5,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,212.21300984784412,140.61558467884953,18.125766406899096,65.52412704540804,0.9971903904278518,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,6,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,208.70718348886567,129.16927075375477,18.834859377990373,66.65714304702692,0.9970559280405581,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,7,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,208.6811114775052,141.2104482502799,18.31896548049011,63.883361976313914,0.9953646981332112,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,8,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,205.87805672533057,126.13269153339976,19.88694818480456,63.325177424104936,0.9933301295232341,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,0,9,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,200.22632768357624,170.12446375097298,21.53515012619616,64.18004741379468,0.9966109304598939,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-000004.png
0,1,0,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,216.68568976886354,101.33000098599238,14.218921635990595,65.91034597929712,0.9937802171121767,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,1,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,199.64818981795386,77.34408988145077,11.69408671096941,66.76769116679024,0.9864979848944574,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,2,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,222.37143897945128,81.42840324917732,17.668227770468103,65.29544847729886,0.9903725023656211,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,3,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,217.12679080439756,132.35589325760378,16.051689165484643,66.39838024288105,0.9952778050950656,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,4,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,214.7956619867327,133.48190704594404,17.172212960380957,66.43800744831611,0.9970097285351738,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,5,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,212.51682129172661,142.44712611825645,17.93024379101541,65.68150517500871,0.9970018477771468,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,6,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,208.81316681981022,128.84697969207528,18.828240951734276,67.26075907685001,0.997053824427816,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,7,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,208.61292299746103,139.09080980290565,18.611343167539463,64.08557080797911,0.9954691940982048,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,8,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,206.0336377919801,126.59065787688088,19.829197792142498,63.318436873405545,0.9940504902357533,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,1,9,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,200.43266443076553,170.54372368440684,21.483813939525827,64.1094763960907,0.9965889093961241,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-001015.png
0,2,0,488.75147579693044,549.3181818181815,819.7644628099176,925.2142857142856,0.0,217.04905904242975,101.66843384962188,14.112910982011108,66.23622301798011,0.9935763709546759,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-002026.png
